Pin Order,Pin Label,Pin Number,Pin Type,Side,Inverted
R1,IO_L15P_T2_DQS_13,T14,BI,3,false
R2,IO_L15N_T2_DQS_13,T15,BI,3,false
R3,IO_L17P_T2_13,T16,BI,3,false
R4,IO_L14P_T2_SRCC_13,U15,BI,3,false
R5,IO_L17N_T2_13,U16,BI,3,false
R6,IO_L10P_T1_13,V10,BI,3,false
R7,IO_L13P_T2_MRCC_13,V13,BI,3,false
R8,IO_L13N_T2_MRCC_13,V14,BI,3,false
R9,IO_L14N_T2_SRCC_13,V15,BI,3,false
L1,VCCO_13_1,V16,BI,2,false
R10,IO_L10N_T1_13,W10,BI,3,false
R11,IO_L12P_T1_MRCC_13,W11,BI,3,false
R12,IO_L12N_T1_MRCC_13,W12,BI,3,false
L2,VCCO_13_2,W13,BI,2,false
L3,IO_L6P_T0_13,W14,BI,2,false
R13,IO_L16P_T2_13,W15,BI,3,false
R14,IO_L16N_T2_13,W16,BI,3,false
L4,VCCO_13_3,Y10,BI,2,false
R15,IO_L11P_T1_SRCC_13,Y11,BI,3,false
R16,IO_L11N_T1_SRCC_13,Y12,BI,3,false
L5,IO_L5P_T0_13,Y13,BI,2,false
L6,IO_L6N_T0_VREF_13,Y14,BI,2,false
L7,IO_L1P_T0_13,Y16,BI,2,false
L8,IO_0_13,Y17,BI,2,false
R17,IO_L8P_T1_13,AA9,BI,3,false
R18,IO_L9P_T1_DQS_13,AA10,BI,3,false
R19,IO_L9N_T1_DQS_13,AA11,BI,3,false
L9,IO_L3P_T0_DQS_13,AA13,BI,2,false
L10,IO_L5N_T0_13,AA14,BI,2,false
L11,IO_L4P_T0_13,AA15,BI,2,false
L12,IO_L1N_T0_13,AA16,BI,2,false
L13,VCCO_13_4,AA17,BI,2,false
R20,IO_L8N_T1_13,AB10,BI,3,false
R21,IO_L7P_T1_13,AB11,BI,3,false
R22,IO_L7N_T1_13,AB12,BI,3,false
L14,IO_L3N_T0_DQS_13,AB13,BI,2,false
L15,VCCO_13_5,AB14,BI,2,false
L16,IO_L4N_T0_13,AB15,BI,2,false
L17,IO_L2P_T0_13,AB16,BI,2,false
L18,IO_L2N_T0_13,AB17,BI,2,false
