Pin Order,Pin Label,Pin Number,Pin Type,Side,Inverted
R1,IO_L23P_T3_A03_D19_14,N13,BI,3,false
R2,IO_L23N_T3_A02_D18_14,N14,BI,3,false
R3,IO_L21P_T3_DQS_14,N17,BI,3,false
R4,IO_L19P_T3_A10_D26_14,P14,BI,3,false
R5,IO_L22P_T3_A05_D21_14,P15,BI,3,false
R6,IO_L24P_T3_A01_D17_14,P16,BI,3,false
R7,IO_L21N_T3_DQS_A06_D22_14,P17,BI,3,false
R8,IO_L19N_T3_A09_D25_VREF_14,R14,BI,3,false
R9,IO_L22N_T3_A04_D20_14,R16,BI,3,false
R10,IO_L24N_T3_A00_D16_14,R17,BI,3,false
R11,IO_L20P_T3_A08_D24_14,R18,BI,3,false
R12,IO_L20N_T3_A07_D23_14,T18,BI,3,false
R13,IO_L18P_T2_A12_D28_14,U17,BI,3,false
R14,IO_L18N_T2_A11_D27_14,U18,BI,3,false
R15,IO_L17P_T2_A14_D30_14,AA18,BI,3,false
L1,VCCO_14_1,M14,BI,2,false
L2,VCCO_14_2,P18,BI,2,false
L3,VCCO_14_3,R15,BI,2,false
L4,VCCO_14_4,T22,BI,2,false
L5,VCCO_14_5,U19,BI,2,false
L6,VCCO_14_6,Y20,BI,2,false
L7,IO_25_14,N15,BI,2,false
L8,IO_L5P_T0_D06_14,P19,BI,2,false
L9,IO_0_14,P20,BI,2,false
L10,IO_L2P_T0_D02_14,P21,BI,2,false
L11,IO_L1P_T0_D00_MOSI_14,P22,BI,2,false
L12,IO_L5N_T0_D07_14,R19,BI,2,false
L13,IO_L2N_T0_D03_14,R21,BI,2,false
L14,IO_L1N_T0_D01_DIN_14,R22,BI,2,false
L15,IO_L6P_T0_FCS_B_14,T19,BI,2,false
L16,IO_L6N_T0_D08_VREF_14,T20,BI,2,false
L17,IO_L4P_T0_D04_14,T21,BI,2,false
R16,IO_L11P_T1_SRCC_14,U20,BI,3,false
L18,IO_L4N_T0_D05_14,U21,BI,2,false
L19,IO_L3P_T0_DQS_PUDC_B_14,U22,BI,2,false
R17,IO_L16P_T2_CSI_B_14,V17,BI,3,false
R18,IO_L14P_T2_SRCC_14,V18,BI,3,false
R19,IO_L14N_T2_SRCC_14,V19,BI,3,false
R20,IO_L11N_T1_SRCC_14,V20,BI,3,false
L20,IO_L3N_T0_DQS_EMCCLK_14,V22,BI,2,false
R21,IO_L16N_T2_A15_D31_14,W17,BI,3,false
R22,IO_L12P_T1_MRCC_14,W19,BI,3,false
R23,IO_L12N_T1_MRCC_14,W20,BI,3,false
L21,IO_L7P_T1_D09_14,W21,BI,2,false
L22,IO_L7N_T1_D10_14,W22,BI,2,false
R24,IO_L13P_T2_MRCC_14,Y18,BI,3,false
R25,IO_L13N_T2_MRCC_14,Y19,BI,3,false
L23,IO_L9P_T1_DQS_14,Y21,BI,2,false
L24,IO_L9N_T1_DQS_D13_14,Y22,BI,2,false
R26,IO_L15P_T2_DQS_B_14,AA19,BI,3,false
L25,IO_L8P_T1_D11_14,AA20,BI,2,false
L26,IO_L8N_T1_D12_14,AA21,BI,2,false
R27,IO_L17N_T2_A13_D29_14,AB18,BI,3,false
R28,IO_L15N_T2_DQS_B_14,AB20,BI,3,false
R29,IO_L10P_T1_D14_14,AB21,BI,3,false
R30,IO_L10N_T1_D15_14,AB22,BI,3,false
