Pin Order,Pin Label,Pin Number,Pin Type,Side,Inverted
L1,IO_L1N_T0_AD0N_15,G13,BI,2,false
L2,IO_L2P_T0_AD8P_15,G15,BI,2,false
L3,IO_L2N_T0_AD8N_15,G16,BI,2,false
L4,IO_L4P_T0_15,G17,BI,2,false
L5,IO_L4N_T0_15,G18,BI,2,false
L6,VCCO_15_1,G19,BI,2,false
L7,IO_L8N_T1_AD10N_15,G20,BI,2,false
L8,IO_L1P_T0_AD0P_15,H13,BI,2,false
L9,IO_L3N_T0_DQS_AD1N_15,H14,BI,2,false
L10,IO_L5N_T0_AD9N_15,H15,BI,2,false
L11,VCCO_15_2,H16,BI,2,false
L12,IO_L6N_T0_VREF_15,H18,BI,2,false
R1,IO_L12N_T1_MRCC_15,H19,BI,3,false
L13,IO_L8P_T1_AD10P_15,H20,BI,2,false
L14,IO_L7N_T1_AD2N_15,H22,BI,2,false
L15,VCCO_15_3,J13,BI,2,false
L16,IO_L3P_T0_DQS_AD1P_15,J14,BI,2,false
L17,IO_L5P_T0_AD9P_15,J15,BI,2,false
L18,IO_0_15,J16,BI,2,false
R2,IO_L21N_T3_DQS_A18_15,J17,BI,3,false
R3,IO_L12P_T1_MRCC_15,J19,BI,3,false
R4,IO_L11P_T1_SRCC_15,J20,BI,3,false
R5,IO_L11N_T1_SRCC_15,J21,BI,3,false
L19,IO_L7P_T1_AD2P_15,J22,BI,2,false
R6,IO_L19P_T3_A22_15,K13,BI,3,false
R7,IO_L19N_T3_A21_VREF_15,K14,BI,3,false
R8,IO_L23N_T3_FWE_B_15,K16,BI,3,false
R9,IO_L21P_T3_DQS_15,K17,BI,3,false
R10,IO_L13P_T2_MRCC_15,K18,BI,3,false
R11,IO_L13N_T2_MRCC_15,K19,BI,3,false
L20,VCCO_15_4,K20,BI,2,false
L21,IO_L9P_T1_DQS_AD3P_15,K21,BI,2,false
L22,IO_L9N_T1_DQS_AD3N_15,K22,BI,2,false
R12,IO_L20N_T3_A19_15,L13,BI,3,false
R13,IO_L22P_T3_A17_15,L14,BI,3,false
R14,IO_L22N_T3_A16_15,L15,BI,3,false
R15,IO_L23P_T3_FOE_B_15,L16,BI,3,false
L23,VCCO_15_5,L17,BI,2,false
R16,IO_L16N_T2_A27_15,L18,BI,3,false
R17,IO_L14P_T2_SRCC_15,L19,BI,3,false
R18,IO_L14N_T2_SRCC_15,L20,BI,3,false
R19,IO_L10N_T1_AD11N_15,L21,BI,3,false
R20,IO_L20P_T3_A20_15,M13,BI,3,false
R21,IO_L24P_T3_RS1_15,M15,BI,3,false
R22,IO_L24N_T3_RS0_15,M16,BI,3,false
L24,IO_25_15,M17,BI,2,false
R23,IO_L16P_T2_A28_15,M18,BI,3,false
R24,IO_L18N_T2_A23_15,M20,BI,3,false
R25,IO_L10P_T1_AD11P_15,M21,BI,3,false
R26,IO_L17P_T2_A26_15,N18,BI,3,false
R27,IO_L17N_T2_A25_15,N19,BI,3,false
R28,IO_L18P_T2_A24_15,N20,BI,3,false
L25,VCCO_15_6,N21,BI,2,false
R29,IO_L15P_T2_DQS_15,N22,BI,3,false
L26,IO_L6P_T0_15,H17,BI,2,false
R30,IO_L15N_T2_DQS_ADV_B_15,M22,BI,3,false
