Pin Order,Pin Label,Pin Number,Pin Type,Side,Inverted
L1,VCCO_16_1,A17,BI,2,false
L2,VCCO_16_2,B14,BI,2,false
L3,VCCO_16_3,C21,BI,2,false
L4,VCCO_16_4,D18,BI,2,false
L5,VCCO_16_5,E15,BI,2,false
L6,VCCO_16_6,F22,BI,2,false
R1,IO_L10P_T1_16,A13,BI,3,false
R2,IO_L10N_T1_16,A14,BI,3,false
L7,IO_L9P_T1_DQS_16,A15,BI,2,false
L8,IO_L9N_T1_DQS_16,A16,BI,2,false
R3,IO_L17P_T2_16,A18,BI,3,false
R4,IO_L17N_T2_16,A19,BI,3,false
R5,IO_L16N_T2_16,A20,BI,3,false
R6,IO_L21N_T3_DQS_16,A21,BI,3,false
L9,IO_L8N_T1_16,B13,BI,2,false
L10,IO_L7P_T1_16,B15,BI,2,false
L11,IO_L7N_T1_16,B16,BI,2,false
R7,IO_L11P_T1_SRCC_16,B17,BI,3,false
R8,IO_L11N_T1_SRCC_16,B18,BI,3,false
R9,IO_L16P_T2_16,B20,BI,3,false
R10,IO_L21P_T3_DQS_16,B21,BI,3,false
R11,IO_L20N_T3_16,B22,BI,3,false
L12,IO_L8P_T1_16,C13,BI,2,false
L13,IO_L3P_T0_DQS_16,C14,BI,2,false
L14,IO_L3N_T0_DQS_16,C15,BI,2,false
R12,IO_L12N_T1_MRCC_16,C17,BI,3,false
R13,IO_L13P_T2_MRCC_16,C18,BI,3,false
R14,IO_L13N_T2_MRCC_16,C19,BI,3,false
R15,IO_L19N_T3_VREF_16,C20,BI,3,false
R16,IO_L20P_T3_16,C22,BI,3,false
L15,IO_L6P_T0_16,D14,BI,2,false
L16,IO_L6N_T0_VREF_16,D15,BI,2,false
L17,IO_L5N_T0_16,D16,BI,2,false
R17,IO_L12P_T1_MRCC_16,D17,BI,3,false
R18,IO_L14N_T2_SRCC_16,D19,BI,3,false
R19,IO_L19P_T3_16,D20,BI,3,false
L18,IO_L4P_T0_16,E13,BI,2,false
L19,IO_L4N_T0_16,E14,BI,2,false
L20,IO_L5P_T0_16,E16,BI,2,false
L21,IO_L2N_T0_16,E17,BI,2,false
R20,IO_L15N_T2_DQS_16,E18,BI,3,false
R21,IO_L14P_T2_SRCC_16,E19,BI,3,false
L22,IO_L1P_T0_16,F13,BI,2,false
L23,IO_L1N_T0_16,F14,BI,2,false
L24,IO_0_16,F15,BI,2,false
L25,IO_L2P_T0_16,F16,BI,2,false
R22,IO_L15P_T2_DQS_16,F18,BI,3,false
R23,IO_L18P_T2_16,F19,BI,3,false
R24,IO_L18N_T2_16,F20,BI,3,false
L26,IO_25_16,F21,BI,2,false
R25,IO_L23N_T3_16,D21,BI,3,false
R26,IO_L22N_T3_16,D22,BI,3,false
R27,IO_L23P_T3_16,E21,BI,3,false
R28,IO_L22P_T3_16,E22,BI,3,false
R29,IO_L24P_T3_16,G21,BI,3,false
R30,IO_L24N_T3_16,G22,BI,3,false
