Pin Order,Pin Label,Pin Number,Pin Type,Side,Inverted
L1,IO_L3N_T0_DQS_34,R2,BI,2,false
L2,IO_L3P_T0_DQS_34,R3,BI,2,false
R1,IO_L13P_T2_MRCC_34,R4,BI,3,false
L3,VCCO_34_1,R5,BI,2,false
R2,IO_L17P_T2_34,R6,BI,3,false
L4,IO_L1P_T0_34,T1,BI,2,false
L5,VCCO_34_2,T2,BI,2,false
L6,IO_0_34,T3,BI,2,false
R3,IO_L13N_T2_MRCC_34,T4,BI,3,false
R4,IO_L14P_T2_SRCC_34,T5,BI,3,false
R5,IO_L17N_T2_34,T6,BI,3,false
L7,IO_L1N_T0_34,U1,BI,2,false
L8,IO_L2P_T0_34,U2,BI,2,false
L9,IO_L6P_T0_34,U3,BI,2,false
R6,IO_L14N_T2_SRCC_34,U5,BI,3,false
R7,IO_L16P_T2_34,U6,BI,3,false
L10,IO_25_34,U7,BI,2,false
L11,IO_L2N_T0_34,V2,BI,2,false
L12,IO_L6N_T0_VREF_34,V3,BI,2,false
R8,IO_L12P_T1_MRCC_34,V4,BI,3,false
R9,IO_L16N_T2_34,V5,BI,3,false
L13,VCCO_34_3,V6,BI,2,false
R10,IO_L19P_T3_34,V7,BI,3,false
R11,IO_L21N_T3_DQS_34,V8,BI,3,false
R12,IO_L21P_T3_DQS_34,V9,BI,3,false
L14,IO_L5P_T0_34,W1,BI,2,false
L15,IO_L4P_T0_34,W2,BI,2,false
L16,VCCO_34_4,W3,BI,2,false
R13,IO_L12N_T1_MRCC_34,W4,BI,3,false
R14,IO_L15N_T2_DQS_34,W5,BI,3,false
R15,IO_L15P_T2_DQS_34,W6,BI,3,false
R16,IO_L19N_T3_VREF_34,W7,BI,3,false
R17,IO_L24P_T3_34,W9,BI,3,false
L17,IO_L5N_T0_34,Y1,BI,2,false
L18,IO_L4N_T0_34,Y2,BI,2,false
L19,IO_L9P_T1_DQS_34,Y3,BI,2,false
R18,IO_L11P_T1_SRCC_34,Y4,BI,3,false
R19,IO_L18P_T2_34,Y6,BI,3,false
R20,IO_L23N_T3_34,Y7,BI,3,false
R21,IO_L23P_T3_34,Y8,BI,3,false
R22,IO_L24N_T3_34,Y9,BI,3,false
L20,IO_L7P_T1_34,AA1,BI,2,false
L21,IO_L9N_T1_DQS_34,AA3,BI,2,false
R23,IO_L11N_T1_SRCC_34,AA4,BI,3,false
R24,IO_L10P_T1_34,AA5,BI,3,false
R25,IO_L18N_T2_34,AA6,BI,3,false
L22,VCCO_34_5,AA7,BI,2,false
R26,IO_L22P_T3_34,AA8,BI,3,false
L23,IO_L7N_T1_34,AB1,BI,2,false
L24,IO_L8N_T1_34,AB2,BI,2,false
L25,IO_L8P_T1_34,AB3,BI,2,false
L26,VCCO_34_6,AB4,BI,2,false
R27,IO_L10N_T1_34,AB5,BI,3,false
R28,IO_L20N_T3_34,AB6,BI,3,false
R29,IO_L20P_T3_34,AB7,BI,3,false
R30,IO_L22N_T3_34,AB8,BI,3,false
