Pin Order,Pin Label,Pin Number,Pin Type,Side,Inverted
L1,VCCO_35_1,C1,BI,2,false
L2,VCCO_35_2,F2,BI,2,false
L3,VCCO_35_3,H6,BI,2,false
L4,VCCO_35_4,J3,BI,2,false
L5,VCCO_35_5,M4,BI,2,false
L6,VCCO_35_6,N1,BI,2,false
L7,IO_0_35,F4,BI,2,false
L8,IO_25_35,L6,BI,2,false
L9,IO_L1N_T0_AD4N_35,A1,BI,2,false
L10,IO_L1P_T0_AD4P_35,B1,BI,2,false
L11,IO_L2N_T0_AD12N_35,B2,BI,2,false
L12,IO_L2P_T0_AD12P_35,C2,BI,2,false
L13,IO_L3N_T0_DQS_AD5N_35,D1,BI,2,false
L14,IO_L4N_T0_35,D2,BI,2,false
L15,IO_L3P_T0_DQS_AD5P_35,E1,BI,2,false
L16,IO_L4P_T0_35,E2,BI,2,false
L17,IO_L6N_T0_VREF_35,E3,BI,2,false
L18,IO_L5N_T0_AD13N_35,F1,BI,2,false
L19,IO_L6P_T0_35,F3,BI,2,false
L20,IO_L5P_T0_AD13P_35,G1,BI,2,false
L21,IO_L8N_T1_AD14N_35,G2,BI,2,false
R1,IO_L11N_T1_SRCC_35,G3,BI,3,false
R2,IO_L12N_T1_MRCC_35,G4,BI,3,false
L22,IO_L8P_T1_AD14P_35,H2,BI,2,false
R3,IO_L11P_T1_SRCC_35,H3,BI,3,false
R4,IO_L12P_T1_MRCC_35,H4,BI,3,false
R5,IO_L10N_T1_AD15N_35,H5,BI,3,false
L23,IO_L7N_T1_AD6N_35,J1,BI,2,false
L24,IO_L9N_T1_DQS_AD7N_35,J2,BI,2,false
R6,IO_L13N_T2_MRCC_35,J4,BI,3,false
R7,IO_L10P_T1_AD15P_35,J5,BI,3,false
R8,IO_L17N_T2_35,J6,BI,3,false
L25,IO_L7P_T1_AD6P_35,K1,BI,2,false
L26,IO_L9P_T1_DQS_AD7P_35,K2,BI,2,false
R9,IO_L14N_T2_SRCC_35,K3,BI,3,false
R10,IO_L13P_T2_MRCC_35,K4,BI,3,false
R11,IO_L17P_T2_35,K6,BI,3,false
R12,IO_L15N_T2_DQS_35,L1,BI,3,false
R13,IO_L14P_T2_SRCC_35,L3,BI,3,false
R14,IO_L18N_T2_35,L4,BI,3,false
R15,IO_L18P_T2_35,L5,BI,3,false
R16,IO_L15P_T2_DQS_35,M1,BI,3,false
R17,IO_L16N_T2_35,M2,BI,3,false
R18,IO_L16P_T2_35,M3,BI,3,false
R19,IO_L23N_T3_35,M5,BI,3,false
R20,IO_L23P_T3_35,M6,BI,3,false
R21,IO_L22N_T3_35,N2,BI,3,false
R22,IO_L19N_T3_VREF_35,N3,BI,3,false
R23,IO_L19P_T3_35,N4,BI,3,false
R24,IO_L24N_T3_35,N5,BI,3,false
R25,IO_L20N_T3_35,P1,BI,3,false
R26,IO_L22P_T3_35,P2,BI,3,false
R27,IO_L21N_T3_DQS_35,P4,BI,3,false
R28,IO_L21P_T3_DQS_35,P5,BI,3,false
R29,IO_L24P_T3_35,P6,BI,3,false
R30,IO_L20P_T3_35,R1,BI,3,false
