Pin Order,Pin Label,Pin Number,Pin Type,Side,Inverted
R1,MGTPTXN0_216,A4,BI,3,false
R2,MGTPTXN2_216,A6,BI,3,false
L1,MGTPRXN0_216,A8,BI,2,false
L2,MGTPRXN2_216,A10,BI,2,false
R3,MGTPTXP0_216,B4,BI,3,false
R4,MGTAVTT_1,B5,BI,3,false
R5,MGTPTXP2_216,B6,BI,3,false
R6,MGTAVTT_2,B7,BI,3,false
L3,MGTPRXP0_216,B8,BI,2,false
R7,MGTAVTT_3,B9,BI,3,false
L4,MGTPRXP2_216,B10,BI,2,false
R8,MGTAVTT_4,B11,BI,3,false
R9,MGTAVTT_5,C4,BI,3,false
R10,MGTPTXN1_216,C5,BI,3,false
R11,MGTPTXN3_216,C7,BI,3,false
R12,MGTAVTT_6,C8,BI,3,false
L5,MGTPRXN3_216,C9,BI,2,false
L6,MGTPRXN1_216,C11,BI,2,false
R13,MGTPTXP1_216,D5,BI,3,false
L7,MGTAVCC_1,D6,BI,2,false
R14,MGTPTXP3_216,D7,BI,3,false
L8,MGTPRXP3_216,D9,BI,2,false
L9,MGTAVCC_2,D10,BI,2,false
L10,MGTPRXP1_216,D11,BI,2,false
L11,MGTREFCLK0N_216,E6,BI,2,false
L12,MGTAVCC_3,E8,BI,2,false
L13,MGTREFCLK1N_216,E10,BI,2,false
L14,MGTREFCLK0P_216,F6,BI,2,false
L15,MGTAVCC_4,F7,BI,2,false
R15,MGTRREF_216,F8,BI,3,false
L16,MGTAVCC_5,F9,BI,2,false
L17,MGTREFCLK1P_216,F10,BI,2,false
