Pin Order,Pin Label,Pin Number,Pin Type,Side,Inverted
R1,VCCAUX_1,H12,BI,3,false
R2,VCCAUX_2,K12,BI,3,false
R3,VCCAUX_3,M12,BI,3,false
R4,VCCAUX_4,P12,BI,3,false
R5,VCCAUX_5,R11,BI,3,false
L1,VCCINT_1,H8,BI,2,false
L2,VCCINT_2,H10,BI,2,false
L3,VCCINT_3,J7,BI,2,false
L4,VCCINT_4,J9,BI,2,false
L5,VCCINT_5,K8,BI,2,false
L6,VCCINT_6,L7,BI,2,false
L7,VCCINT_7,M8,BI,2,false
L8,VCCINT_8,N7,BI,2,false
L9,VCCINT_9,P8,BI,2,false
L10,VCCINT_10,P10,BI,2,false
L11,VCCINT_11,R7,BI,2,false
L12,VCCINT_12,R9,BI,2,false
L13,VCCINT_13,T8,BI,2,false
L14,VCCINT_14,T10,BI,2,false
R6,VCCBRAM_1,J11,BI,3,false
R7,VCCBRAM_2,L11,BI,3,false
R8,VCCBRAM_3,N11,BI,3,false
