Pin Order,Pin Label,Pin Number,Pin Type,Side,Inverted
L1,GND_1,A2,BI,2,false
L2,GND_2,A3,BI,2,false
L3,GND_3,A5,BI,2,false
L4,GND_4,A7,BI,2,false
L5,GND_5,A9,BI,2,false
L6,GND_6,A11,BI,2,false
L7,GND_7,A12,BI,2,false
L8,GND_8,A22,BI,2,false
L9,GND_9,B3,BI,2,false
L10,GND_10,B12,BI,2,false
L11,GND_11,B19,BI,2,false
L12,GND_12,C3,BI,2,false
L13,GND_13,C6,BI,2,false
L14,GND_14,C10,BI,2,false
L15,GND_15,C12,BI,2,false
L16,GND_16,C16,BI,2,false
L17,GND_17,D3,BI,2,false
L18,GND_18,D4,BI,2,false
L19,GND_19,D8,BI,2,false
L20,GND_20,D12,BI,2,false
L21,GND_21,D13,BI,2,false
L22,GND_22,E4,BI,2,false
L23,GND_23,E5,BI,2,false
L24,GND_24,E7,BI,2,false
L25,GND_25,E9,BI,2,false
L26,GND_26,E11,BI,2,false
L27,GND_27,E20,BI,2,false
L28,GND_28,F5,BI,2,false
L29,GND_29,F11,BI,2,false
L30,GND_30,F17,BI,2,false
L31,GND_31,G5,BI,2,false
L32,GND_32,G6,BI,2,false
L33,GND_33,G7,BI,2,false
L34,GND_34,G8,BI,2,false
L35,GND_35,G9,BI,2,false
L36,GND_36,G10,BI,2,false
L37,GND_37,G12,BI,2,false
L38,GND_38,G14,BI,2,false
L39,GND_39,H1,BI,2,false
L40,GND_40,H7,BI,2,false
L41,GND_41,H9,BI,2,false
L42,GND_42,H11,BI,2,false
L43,GND_43,H21,BI,2,false
L44,GND_44,J8,BI,2,false
R1,GND_45,J10,BI,3,false
R2,GND_46,J12,BI,3,false
R3,GND_47,J18,BI,3,false
R4,GND_48,K5,BI,3,false
R5,GND_49,K7,BI,3,false
R6,GND_50,K11,BI,3,false
R7,GND_51,K15,BI,3,false
R8,GND_52,L2,BI,3,false
R9,GND_53,L8,BI,3,false
R10,GND_54,L22,BI,3,false
R11,GND_55,M7,BI,3,false
R12,GND_56,M11,BI,3,false
R13,GND_57,M19,BI,3,false
R14,GND_58,N6,BI,3,false
R15,GND_59,N8,BI,3,false
R16,GND_60,N16,BI,3,false
R17,GND_61,P3,BI,3,false
R18,GND_62,P7,BI,3,false
R19,GND_63,P9,BI,3,false
R20,GND_64,P11,BI,3,false
R21,GND_65,P13,BI,3,false
R22,GND_66,R8,BI,3,false
R23,GND_67,R10,BI,3,false
R24,GND_68,R12,BI,3,false
R25,GND_69,R20,BI,3,false
R26,GND_70,T7,BI,3,false
R27,GND_71,T9,BI,3,false
R28,GND_72,T11,BI,3,false
R29,GND_73,T17,BI,3,false
R30,GND_74,U4,BI,3,false
R31,GND_75,U14,BI,3,false
R32,GND_76,V1,BI,3,false
R33,GND_77,V11,BI,3,false
R34,GND_78,V21,BI,3,false
R35,GND_79,W8,BI,3,false
R36,GND_80,W18,BI,3,false
R37,GND_81,Y5,BI,3,false
R38,GND_82,Y15,BI,3,false
R39,GND_83,AA2,BI,3,false
R40,GND_84,AA12,BI,3,false
R41,GND_85,AA22,BI,3,false
R42,GND_86,AB9,BI,3,false
R43,GND_87,AB19,BI,3,false
