CONCISE NET LIST - 1  
1V8_POST_RSHUNT          IC6              4        LTC2991CMS#PBF-VCC=VCC3V3
1V8_POST_RSHUNT          R87              2        R-ERJ-6BWFR020V,R-ERJ-6BWFR020A
1V8_POST_RSHUNT          U16              4        TPS74618P-TPS74618PQWDRVRQ1,TPB
1V8_POST_RSHUNT          U16              6        TPS74618P-TPS74618PQWDRVRQ1,TPB
A0                       R73              1        R-EMA-00007500V42,R-EMA-000075A
A0                       R74              2        R-NO_STUFF,R-NO_STUFF,R,RES0402
A0                       U18              1        24AA025E48T-I/SN-24AA025E48T-IB
A1                       R75              1        R-EMA-00007500V42,R-EMA-000075A
A1                       R76              2        R-NO_STUFF,R-NO_STUFF,R,RES0402
A1                       U18              2        24AA025E48T-I/SN-24AA025E48T-IB
A2                       R77              1        R-EMA-00007500V42,R-EMA-000075A
A2                       R78              2        R-NO_STUFF,R-NO_STUFF,R,RES0402
A2                       U18              3        24AA025E48T-I/SN-24AA025E48T-IB
AMC_GA<0>                J7               5        MCH_CONNECTOR1-MCH1B-EDGE-170,B
AMC_GA<0>                R44              2        R-ERJ-2RKF3302X,R-ERJ-2RKF3302A
AMC_GA<0>                U13              11       ATMGA128-ATMEGA128A-MU,ATMGA12A
AMC_GA<1>                J7               17       MCH_CONNECTOR1-MCH1B-EDGE-170,B
AMC_GA<1>                R45              2        R-ERJ-2RKF3302X,R-ERJ-2RKF3302A
AMC_GA<1>                U13              12       ATMGA128-ATMEGA128A-MU,ATMGA12A
AMC_GA<2>                J7               26       MCH_CONNECTOR1-MCH1B-EDGE-170,B
AMC_GA<2>                R47              2        R-ERJ-2RKF3302X,R-ERJ-2RKF3302A
AMC_GA<2>                U13              13       ATMGA128-ATMEGA128A-MU,ATMGA12A
AMC_N_ENABLE             R94              2        R-M55342K11B10E0RS3,R-M55342K1A
AMC_N_ENABLE             U15              2        INV_1CH_OD-SN74LVC1G06DBVTE4,IB
AMC_N_PS<0>              D12              C        DIODE-1N4148W-13-F,DIODE-1N414A
AMC_N_PS<0>              J7               83       MCH_CONNECTOR1-MCH1B-EDGE-170,B
AMC_N_PS<0>              R103             2        R-ERJ-2RKF1503X,R-ERJ-2RKF1503A
AMC_N_PS<1>              J7               3        MCH_CONNECTOR1-MCH1B-EDGE-170,B
AMC_N_PS<1>              R102             1        R-ERJ-2RKF33R0X,R-ERJ-2RKF33R0A
AMC_N_PS<1>              R104             1        R-ERJ-2RKF3903X,R-ERJ-2RKF3903A
AMC_N_PS<1>              U13              4        ATMGA128-ATMEGA128A-MU,ATMGA12A
