
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
ADP1741ACPZ-R7                   VR2                              161   1      1   1   1 1           1 0 2V5_MB              (2-356-13)
ADP1741ACPZ-R7                   VR2                              161   1      2   2   1 2           2 0 2V5_MB              (2-356-13)
ADP1741ACPZ-R7                   VR2                              161   1      3   3   1 3           3 0 2V5_MB              (2-356-13)
ADP1741ACPZ-R7                   VR2                              161   1      4   4   1 4           4 0 PWR_GD_1V8          (162-6-13)
ADP1741ACPZ-R7                   VR2                              161   1      5   5   1 5           5 0 PWR_GD_1V2          (207-10-13)
ADP1741ACPZ-R7                   VR2                              161   1      6   6   1 6           6 0 GND                 (2-3-13)
ADP1741ACPZ-R7                   VR2                              161   1      7   7   1 7           7 0 $8N54               (162-1-13)
ADP1741ACPZ-R7                   VR2                              161   1      8   8   1 8           8 0                     (0-0-0)
ADP1741ACPZ-R7                   VR2                              161   1      9   9   1 12         12 0 1V2                 (95-2-13)
ADP1741ACPZ-R7                   VR2                              161   1     10  10   1 11         11 0 1V2                 (95-2-13)
ADP1741ACPZ-R7                   VR2                              161   1     11  11   1 10         10 0 1V2                 (95-2-13)
ADP1741ACPZ-R7                   VR2                              161   1     12  12   1 9           9 0 $8N85               (162-2-13)
ADP1741ACPZ-R7                   VR2                              161   1     13  13   1 17         17 0 GND                 (2-3-13)
ADP1741ACPZ-R7                   VR2                              161   1     14  14   1 16         16 0 2V5_MB              (2-356-13)
ADP1741ACPZ-R7                   VR2                              161   1     15  15   1 15         15 0 2V5_MB              (2-356-13)
ADP1741ACPZ-R7                   VR2                              161   1     16  16   1 14         14 0 1V2                 (95-2-13)
ADP1741ACPZ-R7                   VR2                              161   1     17  17   1 13         13 0 1V2                 (95-2-13)
ADP1741ACPZ-R7                   VR3                              162   1      1   1   1 1           1 0 2V5_MB              (2-356-13)
ADP1741ACPZ-R7                   VR3                              162   1      2   2   1 2           2 0 2V5_MB              (2-356-13)
ADP1741ACPZ-R7                   VR3                              162   1      3   3   1 3           3 0 2V5_MB              (2-356-13)
ADP1741ACPZ-R7                   VR3                              162   1      4   4   1 4           4 0 PWR_GD_1V0          (188-21-13)
ADP1741ACPZ-R7                   VR3                              162   1      5   5   1 5           5 0 PWR_GD_1V8          (162-6-13)
ADP1741ACPZ-R7                   VR3                              162   1      6   6   1 6           6 0 GND                 (2-3-13)
ADP1741ACPZ-R7                   VR3                              162   1      7   7   1 7           7 0 $8N417              (188-15-13)
ADP1741ACPZ-R7                   VR3                              162   1      8   8   1 8           8 0                     (0-0-0)
ADP1741ACPZ-R7                   VR3                              162   1      9   9   1 12         12 0 1V8                 (95-20-13)
ADP1741ACPZ-R7                   VR3                              162   1     10  10   1 11         11 0 1V8                 (95-20-13)
ADP1741ACPZ-R7                   VR3                              162   1     11  11   1 10         10 0 1V8                 (95-20-13)
ADP1741ACPZ-R7                   VR3                              162   1     12  12   1 9           9 0 $8N420              (188-14-13)
ADP1741ACPZ-R7                   VR3                              162   1     13  13   1 17         17 0 GND                 (2-3-13)
ADP1741ACPZ-R7                   VR3                              162   1     14  14   1 16         16 0 2V5_MB              (2-356-13)
ADP1741ACPZ-R7                   VR3                              162   1     15  15   1 15         15 0 2V5_MB              (2-356-13)
ADP1741ACPZ-R7                   VR3                              162   1     16  16   1 14         14 0 1V8                 (95-20-13)
ADP1741ACPZ-R7                   VR3                              162   1     17  17   1 13         13 0 1V8                 (95-20-13)
Case B Tantalum                  C1                                 4   1      1   1   1 1           1 0 3V3_MB              (188-4-13)
Case B Tantalum                  C1                                 4   1      2   2   1 2           2 0 GND                 (2-3-13)
Case B Tantalum                  C2                                 5   1      1   1   1 1           1 0 3V3_MB_FILT         (874-3-13)
Case B Tantalum                  C2                                 5   1      2   2   1 2           2 0 GND                 (2-3-13)
C0201                            C16                              109   1      1   1   1 1           1 0 2V5_VCCO            (376-17-13)
C0201                            C16                              109   1      2   2   1 2           2 0 GND                 (2-3-13)
C0201                            C17                              113   1      1   1   1 1           1 0 2V5_VCCO            (376-17-13)
C0201                            C17                              113   1      2   2   1 2           2 0 GND                 (2-3-13)
C0201                            C18                              112   1      1   1   1 1           1 0 2V5_VCCO            (376-17-13)
C0201                            C18                              112   1      2   2   1 2           2 0 GND                 (2-3-13)
C0201                            C19                              116   1      1   1   1 1           1 0 3V3_VCCO            (376-4-13)
C0201                            C19                              116   1      2   2   1 2           2 0 GND                 (2-3-13)
C0201                            C20                              103   1      1   1   1 1           1 0 3V3_VCCO            (376-4-13)
C0201                            C20                              103   1      2   2   1 2           2 0 GND                 (2-3-13)
C0201                            C21                              104   1      1   1   1 1           1 0 3V3_VCCO            (376-4-13)
C0201                            C21                              104   1      2   2   1 2           2 0 GND                 (2-3-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
C0201                            C22                              100   1      1   1   1 1           1 0 2V5_VCCO            (376-17-13)
C0201                            C22                              100   1      2   2   1 2           2 0 GND                 (2-3-13)
C0201                            C23                               77   1      1   1   1 1           1 0 2V5_VCCO            (376-17-13)
C0201                            C23                               77   1      2   2   1 2           2 0 GND                 (2-3-13)
C0201                            C24                               78   1      1   1   1 1           1 0 2V5_VCCO            (376-17-13)
C0201                            C24                               78   1      2   2   1 2           2 0 GND                 (2-3-13)
C0201                            C25                               97   1      1   1   1 1           1 0 2V5_VCCO            (376-17-13)
C0201                            C25                               97   1      2   2   1 2           2 0 GND                 (2-3-13)
C0201                            C26                               98   1      1   1   1 1           1 0 2V5_VCCO            (376-17-13)
C0201                            C26                               98   1      2   2   1 2           2 0 GND                 (2-3-13)
C0201                            C27                               99   1      1   1   1 1           1 0 2V5_VCCO            (376-17-13)
C0201                            C27                               99   1      2   2   1 2           2 0 GND                 (2-3-13)
